name,link,category,reviews amount,total score
Введение в дискретную математику,https://stepik.org/course/902,Математика,20,49.224165110374074
Как выучить язык и начать говорить,https://stepik.org/course/50102,Лингвистика,3,49.19183201800155
Практическое применение нейросетей в работе и учёбе,https://stepik.org/course/145238,"Нейросети, чат-боты и искусственный интеллект",1,49.191784833492775
Cálculo IV - UFTM,https://stepik.org/course/181644,Математический анализ,2,49.115392970205235
Основы HTML. Базовый уровень.,https://stepik.org/course/180360,Frontend,3,49.0736344968024
Excel за ЧАС,https://stepik.org/course/97206,Excel,10,49.003303659096495
Налоги и налоговый учет в коммерческих организациях,https://stepik.org/course/94002,НКО,40,48.9342244536078
Основы SQL для программистов без поддержки,https://stepik.org/course/180246,SQL,3,48.87454519550953
Налоги для продвинутых,https://stepik.org/course/127177,Бизнес и финансы,26,48.870470481164496
Английский язык шаг за шагом. Шаг первый,https://stepik.org/course/208987,Popular courses,1,48.80165539554312
Разработка веб-приложений на Node.js,https://stepik.org/course/100438,JavaScript,16,48.80160481134248
Английский. Начальный уровень,https://stepik.org/course/133328,Повседневный английский,10,48.798191848453456
Основы Java,https://stepik.org/course/82867,Java,20,48.67175568318818
Python Tkinter,https://stepik.org/course/57362,Computer Science,24,48.64590313729353
Python,https://stepik.org/course/181030,Python,3,48.64091028517269
Изучаем CSS: cоздание визуально привлекательных сайтов,https://stepik.org/course/179473,Веб-разработка,3,48.59807650553321
Практические задачи на Java для начинающих,https://stepik.org/course/133803,Java,22,48.558234991846696
Быстро пишем API на Python с FastAPI,https://stepik.org/course/119770,Веб-разработка на Python,30,48.52519122302345
Основы 3D-моделирования. SketchUp,https://stepik.org/course/88884,3D-печать,3,48.472659514832294
Legasoft Java,https://stepik.org/course/58514,Java,17,48.46093983428741
Элементарный SQL,https://stepik.org/course/90103,SQL,57,48.44822159774702
Ликбез для предпринимателя. Отчеты в статистику,https://stepik.org/course/134889,1С и бухгалтерский учет,4,48.43232743292168
Японский для начинающих,https://stepik.org/course/186558,Японский язык,14,48.35718859818465
Изучаем iOS с нуля!,https://stepik.org/course/187209,Swift,1,48.25644642507905
1С конфигуратор,https://stepik.org/course/185110,1C,40,48.24421196648176
"Английский с мультфильмом ""Душа"".",https://stepik.org/course/194529,Актуальные скидки,2,48.233140039283214
SMM - менеджмент,https://stepik.org/course/5917,Маркетинг,50,48.091042279037225
Web-фреймворк Flask: введение,https://stepik.org/course/97540,Flask,90,48.088078845009804
ЕГЭ по информатике. Кодирование информации,https://stepik.org/course/117874,ЕГЭ по информатике,1,48.0360978591161
Mind Healing — практическое руководство к счастливой жизни,https://stepik.org/course/178874,Психическое здоровье,6,48.00013458189639
AUTODESK NAVISWORKS MANAGE,https://stepik.org/course/179709,Электротехника,6,47.967259460709236
Анатомия,https://stepik.org/course/69168,Биология,23,47.96669154186258
Продукты Альфа-Банка для физлиц. Блиц-курс,https://stepik.org/course/51077,Банковское дело,12,47.95591313846224
Администрирование информационных систем,https://stepik.org/course/49857,Операционные системы,91,47.924845227900434
